08:50:49 [RL] ONNX model loaded: E:\batteryclaw\dist\BatteryClaw_business\models\batteryclaw_policy.onnx
08:50:49 [RL]   Input : ['batch', 15]
08:50:49 [RL]   Output: ['batch', 7]
08:50:49 [RL] [Phase 3] Online learning ON (state: C:\Users\ADMIN\AppData\Roaming\BatteryClaw\state)
08:50:49 [RL] BatteryClaw RL Brain starting
08:50:49 [RL] Wake interval: 10.0s
08:50:49 [RL]   Waiting for engine... (1/10, retry in 1.1s)
08:50:50 [RL]   Waiting for engine... (2/10, retry in 2.0s)
08:50:53 [RL]   Waiting for engine... (3/10, retry in 4.2s)
08:50:57 [RL] Pipe connected (attempt 4)
08:50:57 [RL] Ready. Controlling...
08:50:57 [RL] ------------------------------------------------------------
08:55:07 [RL] Step   26 | Batt:85.0% | CPU: 1.3% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8260mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:376mWh
08:55:17 [RL] Step   27 | Batt:85.0% | CPU: 1.9% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8260mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:399mWh
08:55:27 [RL] Step   28 | Batt:85.0% | CPU: 6.9% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12753mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:399mWh
08:55:37 [RL] Step   29 | Batt:85.0% | CPU: 2.9% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12753mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:435mWh
08:55:47 [RL] Step   30 | Batt:85.0% | CPU: 2.6% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12753mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:470mWh
08:55:57 [RL] Step   31 | Batt:85.0% | CPU: 2.5% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8099mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:470mWh
08:56:07 [RL] Step   32 | Batt:85.0% | CPU: 3.7% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8099mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:493mWh
08:56:17 [RL] Step   33 | Batt:85.0% | CPU: 2.0% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:10365mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:493mWh
08:56:27 [RL] Step   34 | Batt:85.0% | CPU: 1.7% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8717mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:494mWh
08:56:37 [RL] Step   35 | Batt:85.0% | CPU: 1.8% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8717mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:518mWh
08:56:47 [RL] Step   36 | Batt:84.0% | CPU: 1.4% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8127mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:518mWh
08:56:57 [RL] Step   37 | Batt:84.0% | CPU: 1.5% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8127mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:541mWh
08:57:07 [RL] Step   38 | Batt:84.0% | CPU: 2.0% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8127mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:563mWh
08:57:17 [RL] Step   39 | Batt:84.0% | CPU: 2.9% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8127mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:586mWh
08:57:27 [RL] Step   40 | Batt:84.0% | CPU: 2.7% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8142mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:586mWh
08:57:37 [RL] Step   41 | Batt:84.0% | CPU: 2.6% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8142mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:608mWh
08:57:47 [RL] Step   42 | Batt:84.0% | CPU: 1.4% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8142mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:631mWh
08:57:57 [RL] Step   43 | Batt:84.0% | CPU: 1.6% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8142mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:654mWh
08:58:07 [RL] Step   44 | Batt:84.0% | CPU: 1.2% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8142mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:676mWh
08:58:17 [RL] Step   45 | Batt:84.0% | CPU: 1.7% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8063mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:676mWh
08:58:27 [RL] Step   46 | Batt:84.0% | CPU: 1.6% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8120mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:676mWh
08:58:37 [RL] Step   47 | Batt:84.0% | CPU: 1.3% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8120mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:699mWh
08:58:47 [RL] Step   48 | Batt:84.0% | CPU: 1.8% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8672mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:699mWh
08:58:57 [RL] Step   49 | Batt:84.0% | CPU: 2.7% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8672mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:723mWh
08:59:07 [RL] Step   50 | Batt:83.0% | CPU: 2.7% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8102mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:723mWh
08:59:17 [RL] Step   51 | Batt:83.0% | CPU: 2.5% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8102mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:745mWh
08:59:27 [RL] Step   52 | Batt:83.0% | CPU: 1.6% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8330mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:745mWh
08:59:37 [RL] Step   53 | Batt:83.0% | CPU: 2.3% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8330mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:769mWh
08:59:47 [RL] Step   54 | Batt:83.0% | CPU: 1.3% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8330mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:792mWh
08:59:57 [RL] Step   55 | Batt:83.0% | CPU: 1.6% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8330mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:815mWh
09:00:07 [RL] Step   56 | Batt:83.0% | CPU: 1.2% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8330mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:838mWh
09:00:17 [RL] Step   57 | Batt:83.0% | CPU: 2.8% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8330mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:861mWh
09:00:27 [RL] Step   58 | Batt:83.0% | CPU: 2.4% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8876mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:861mWh
09:00:37 [RL] Step   59 | Batt:83.0% | CPU: 2.7% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8876mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:886mWh
09:00:47 [RL] Step   60 | Batt:83.0% | CPU: 9.0% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:17806mW | Temp:40C | BATTERY | App:SearchHost.exe | Saved:886mWh
09:00:57 [RL] Step   61 | Batt:83.0% | CPU:22.4% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:17806mW | Temp:40C | BATTERY | App:WINWORD.exe    | Saved:935mWh
09:01:07 [RL] Step   62 | Batt:83.0% | CPU:16.5% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:17806mW | Temp:40C | BATTERY | App:WINWORD.exe    | Saved:985mWh
09:01:18 [RL] Step   63 | Batt:82.0% | CPU: 8.6% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:14074mW | Temp:40C | BATTERY | App:WINWORD.exe    | Saved:985mWh
09:01:28 [RL] Step   64 | Batt:82.0% | CPU: 9.0% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12309mW | Temp:40C | BATTERY | App:WINWORD.exe    | Saved:985mWh
09:01:38 [RL] Step   65 | Batt:82.0% | CPU:15.5% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12309mW | Temp:40C | BATTERY | App:WINWORD.exe    | Saved:1019mWh
09:01:48 [RL] Step   66 | Batt:82.0% | CPU:13.1% @23% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:12309mW | Temp:40C | BATTERY | App:WINWORD.exe    | Saved:1053mWh
