Windows PowerShell
Copyright (C) Microsoft Corporation. All rights reserved.

Install the latest PowerShell for new features and improvements! https://aka.ms/PSWindows

PS C:\WINDOWS\system32> cd E:\batteryclaw
PS E:\batteryclaw> python simulator\train.py --steps 5000000
BatteryClaw — Train PPO Agent
==================================================
[1] Khoi tao 8 environments song song...
[2] Khoi tao PPO model...
[3] Train 5,000,000 steps...
    n_envs      = 8
    batch_size  = 512
    net_arch    = [256, 256]


  >>> Phase 1/4 | difficulty=1 | 600,000 steps
  Steps: 1,700,000 | FPS:  1221 | Mean reward:  353.89 | Elapsed: 1392s
  Steps: 1,725,000 | FPS:  1219 | Mean reward:  317.66 | Elapsed: 1415s
  Steps: 1,750,000 | FPS:  1222 | Mean reward:  343.52 | Elapsed: 1432s
  Steps: 1,775,000 | FPS:  1220 | Mean reward:  390.61 | Elapsed: 1454s
  Steps: 1,800,000 | FPS:  1221 | Mean reward:  293.56 | Elapsed: 1475s
  Steps: 1,825,000 | FPS:  1219 | Mean reward:  342.86 | Elapsed: 1497s
  Steps: 1,850,000 | FPS:  1222 | Mean reward:  271.25 | Elapsed: 1514s
  Steps: 1,875,000 | FPS:  1220 | Mean reward:  408.01 | Elapsed: 1537s
  Steps: 1,900,000 | FPS:  1223 | Mean reward:  382.64 | Elapsed: 1554s
  Steps: 1,925,000 | FPS:  1221 | Mean reward:  399.75 | Elapsed: 1576s
  Steps: 1,950,000 | FPS:  1220 | Mean reward:  288.61 | Elapsed: 1598s
  Steps: 1,975,000 | FPS:  1223 | Mean reward:  379.67 | Elapsed: 1615s
  Steps: 2,000,000 | FPS:  1220 | Mean reward:  475.98 | Elapsed: 1640s
  Steps: 2,025,000 | FPS:  1221 | Mean reward:  364.30 | Elapsed: 1659s
  Steps: 2,050,000 | FPS:  1220 | Mean reward:  260.18 | Elapsed: 1681s
  Steps: 2,075,000 | FPS:  1222 | Mean reward:  419.75 | Elapsed: 1698s
  Steps: 2,100,000 | FPS:  1221 | Mean reward:  376.06 | Elapsed: 1721s
  Steps: 2,125,000 | FPS:  1223 | Mean reward:  330.29 | Elapsed: 1738s
  Steps: 2,150,000 | FPS:  1221 | Mean reward:  278.73 | Elapsed: 1760s
  Steps: 2,175,000 | FPS:  1223 | Mean reward:  317.72 | Elapsed: 1778s
  Steps: 2,200,000 | FPS:  1220 | Mean reward:  341.68 | Elapsed: 1803s
  Steps: 2,225,000 | FPS:  1222 | Mean reward:  219.67 | Elapsed: 1820s
